utc_timestamp,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z1_1,Z1_2,Z1_3,Z1_4,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,EAST_ANGLIA,HORNSEA
2014-03-28 04:00:00,-0.4290258869447285,-3.574723811747999,-1.9174959796608402,-2.645942715772027,-4.7316618005169815,-0.7472032692106803,-1.774015562280723,-0.880361688822979,-0.018888991001404298,-0.014942173628986102,-0.0730035862629109,-0.11234157710538609,-0.2670356432599981,-0.16976081166122925,-0.01437305058957183,-0.9466074972519017,-0.1380184971633065,-1.270263544647848,-2.334386153201982,-3.4219205402314494,0,0
2014-03-28 05:00:00,-0.4488117889795448,-3.739583642571875,-2.005927444428399,-2.767968833442511,-4.949877529907159,-0.7816629396748116,-1.8558299683378754,-0.9209623860310265,-0.019760117282738604,-0.015631279793921142,-0.07637038031880036,-0.11752256852497914,-0.27935084669672494,-0.17758987487417408,-0.015035909823852405,-0.9902633319602202,-0.14438366193998947,-1.328845813964475,-2.442043842735846,-3.5797333590851235,0,0
2014-03-28 06:00:00,-0.5230641454196129,-4.358268143255413,-2.337792255589589,-3.2259073579698603,-5.768795570186402,-0.910982883218832,-2.1628623406703777,-1.0733283198915295,-0.023029272210935748,-0.018217351254993134,-0.08900525498149237,-0.13696574685082027,-0.32556723216182554,-0.2069707133750657,-0.017523482037986676,-1.1540945585450257,-0.16827079546396873,-1.548692831033092,-2.8460606584825463,-4.171971896186708,0,0
2014-03-28 07:00:00,-0.6200055984514401,-5.166002433990572,-2.7710641212449976,-3.8237769488529962,-6.837948234758369,-1.0798187806124704,-2.563713784701593,-1.272252310040049,-0.027297374182640655,-0.021593641747306425,-0.10550093494910388,-0.1623501258635632,-0.385905836559951,-0.24532937715523537,-0.020771175128433128,-1.3679872606565953,-0.1994570573363293,-1.8357179208906327,-3.373531826342242,-4.945179200043942,0,0
2014-03-28 08:00:00,-0.6545125902777106,-5.453521134159483,-2.925290288267845,-4.036592833498409,-7.2185206431924325,-1.1399171054171395,-2.7063996746912196,-1.3430607030177197,-0.028816635089561,-0.022795456087587863,-0.11137268821882497,-0.17138587405706396,-0.40738378705127587,-0.2589834132371414,-0.021927214319319578,-1.44412387190627,-0.21055802652819977,-1.937886519770587,-3.5612888973235495,-5.220407776465779,0,0
2014-03-28 09:00:00,-0.6655573521791233,-5.54554815296069,-2.9746539448366582,-4.104709486105537,-7.34033165640864,-1.1591529661227948,-2.7520695983275885,-1.3657245690828181,-0.02930290972826436,-0.023180124600709492,-0.11325207884013488,-0.174277974530521,-0.41425830252632273,-0.2633537037068873,-0.022297231435744143,-1.4684931576286169,-0.21411114881183463,-1.9705879460238878,-3.6213848962658974,-5.308501056527638,0,0
2014-03-28 10:00:00,-0.6606661004799262,-5.504793330348727,-2.9527928969276127,-4.074543539950953,-7.286386779127177,-1.1506342278102906,-2.7318443464314823,-1.3556877141111319,-0.029087559531124303,-0.023009771402041343,-0.11241977727926906,-0.17299718717799004,-0.4112138742445163,-0.26141828935599987,-0.022133366712756123,-1.457701045380149,-0.21253762322908207,-1.9561058858259976,-3.5947709538771435,-5.269488318214529,0,0
2014-03-28 11:00:00,-0.6564533127261016,-5.4696915960345525,-2.9339641879220797,-4.048561902456519,-7.239924578371852,-1.1432971209411333,-2.71442453270161,-1.3470430680548728,-0.028902080490361734,-0.022863047840607807,-0.11170292399942656,-0.1718940574259714,-0.40859173762760553,-0.25975133570539677,-0.02199223161263418,-1.4484059035403396,-0.2111823608723242,-1.9436326275265243,-3.5718486228519906,-5.235887024248077,0,0
2014-03-28 12:00:00,-0.6491479916398816,-5.40882229645604,-2.9013136550772787,-4.00350760223209,-7.159355293915989,-1.1305739730743924,-2.6842171403535544,-1.3320525395003864,-0.028580444550762227,-0.022608617095500213,-0.1104598413456173,-0.16998113954138483,-0.4040447366776817,-0.25686070072326483,-0.021747491719913362,-1.432287361698273,-0.20883222427614856,-1.9220029698761267,-3.5320994121229803,-5.177619611864304,0,0
2014-03-28 13:00:00,-0.6362413984465166,-5.301282151628345,-2.843628696401152,-3.9239084281854746,-7.017010424186194,-1.108095495849784,-2.630848572447055,-1.3055681931557432,-0.02801219790153459,-0.022159104461595223,-0.10826363916242944,-0.16660151355954503,-0.3960113743082698,-0.2517537041457618,-0.021315100289577234,-1.403810110668445,-0.20468014709327245,-1.8837890174829843,-3.4618729447874936,-5.0746763217348745,0,0
