"","capacity","Diameter"
"1",988.801776332889,300
"2",2829.17145885119,900
"3",3289.26387948076,1050
"4",1908.98661759204,600
"5",2369.07903822161,750
"6",3749.35630011034,1200
"7",4056.08458053005,1300
"8",1602.25833717232,500
